Source:;IEA.;All;Rights;Reserved;;;;;;;;
This;data;is;subject;to;the;IEA's;terms;and;conditions:;https://www.iea.org/t_c/termsandconditions/;;
Units:;million;tonnes;;;;;;;;;;
;Crude;oil;and;NGL;production;Total;oil;demand;Supply-Demand;gap;(secondary;axis)
1971;2490.52;2379.4;111.11;;;;;;;;;
1972;2633.79;2557.57;76.22;;;;;;;;;
1973;2870.44;2761.14;109.3;;;;;;;;;
1974;2875.22;2720.1;155.12;;;;;;;;;
1975;2739.9;2700.47;39.42;;;;;;;;;
1976;2966.43;2870.88;95.55;;;;;;;;;
1977;3069.44;2986.45;82.99;;;;;;;;;
1978;3107.62;3095.35;12.28;;;;;;;;;
1979;3228.92;3140.26;88.65;;;;;;;;;
1980;3110.75;3016.33;94.42;;;;;;;;;
1981;2941.8;2904.51;37.3;;;;;;;;;
1982;2812.14;2824.71;-12.58;;;;;;;;;
1983;2790.84;2802.84;-12;;;;;;;;;
1984;2869.2;2841.6;27.6;;;;;;;;;
1985;2818.8;2829.81;-11.01;;;;;;;;;
1986;2934.74;2910.84;23.9;;;;;;;;;
1987;2967.08;2975.62;-8.54;;;;;;;;;
1988;3103.37;3078.59;24.78;;;;;;;;;
1989;3141.94;3112.87;29.07;;;;;;;;;
1990;3186.86;3120.61;66.25;;;;;;;;;
1991;3188.08;3147.46;40.62;;;;;;;;;
1992;3226.49;3169.05;57.44;;;;;;;;;
1993;3254.85;3170.71;84.14;;;;;;;;;
1994;3286.94;3213.02;73.92;;;;;;;;;
1995;3340.2;3270.58;69.62;;;;;;;;;
1996;3430.26;3357.74;72.52;;;;;;;;;
1997;3528.35;3473.02;55.32;;;;;;;;;
1998;3589.48;3503.84;85.64;;;;;;;;;
1999;3526.35;3567.91;-41.56;;;;;;;;;
2000;3654.09;3598.71;55.38;;;;;;;;;
2001;3664.85;3622.71;42.14;;;;;;;;;
2002;3634.26;3632.89;1.37;;;;;;;;;
2003;3789.99;3696.27;93.72;;;;;;;;;
2004;3949.74;3851.5;98.24;;;;;;;;;
2005;4004.46;3900.37;104.09;;;;;;;;;
2006;4046.19;3946.2;99.99;;;;;;;;;
2007;4049.23;4015.67;33.55;;;;;;;;;
2008;4099.27;3983.11;116.16;;;;;;;;;
2009;4004.59;3901.04;103.55;;;;;;;;;
2010;4104.06;4060.54;43.52;;;;;;;;;
2011;4150.46;4055.99;94.47;;;;;;;;;
2012;4245.08;4103.59;141.49;;;;;;;;;
2013;4265.12;4159.1;106.03;;;;;;;;;
2014;4352.5;4206.85;145.65;;;;;;;;;
2015;4458.38;4302.07;156.31;;;;;;;;;
2016;4516.18;4334.96;181.22;;;;;;;;;
2017;4505.62;4408.43;97.19;;;;;;;;;
2018;4619.32;4428.26;191.06;;;;;;;;;
2019;4617.42;4455.85;161.57;;;;;;;;;
2020;4296.19;4069.98;226.21;;;;;;;;;
